track,feature_set,model,accuracy,error_rate,precision,recall,f1,roc_auc
binary,svd,SVM,0.9719129372026316,0.028087062797368317,0.9540997878921448,0.903042495997313,0.9278551923842505,0.9944761146236814
binary,original,MLP_ANN,0.9714779353247609,0.028522064675239028,0.9526776810434372,0.9021676351410387,0.9267083134921892,0.9877294536231718
binary,pca,SVM,0.9712172018496267,0.028782798150373323,0.9543338348420055,0.8991277489750739,0.9258936985157339,0.9944401684690568
binary,original,SVM,0.9706954400289645,0.029304559971035576,0.9546414158338129,0.8960844586812636,0.9244114878301734,0.9946333913161839
binary,pca,MLP_ANN,0.9702608917978534,0.02973910820214661,0.9426010213372389,0.9065186778821333,0.9241794560237935,0.9881876764213838
binary,svd,MLP_ANN,0.9689564985873668,0.031043501412633307,0.9362367023145328,0.9065186778821333,0.9211323593686376,0.9888375350077797
binary,embedded_l1,MLP_ANN,0.9689561356699589,0.0310438643300411,0.9561785288794468,0.8856576150907257,0.9192190510613006,0.9842420900237693
binary,embedded_l1,SVM,0.9683475458594911,0.031652454140508844,0.9519396416600033,0.8865199941449001,0.9180278346819278,0.9945671897959153
binary,ga_selection,MLP_ANN,0.9661741242337962,0.033825875766203696,0.9271377070885123,0.9017398497417969,0.9142482263821606,0.99007112453624
binary,ga_selection,SVM,0.9653913340676059,0.03460866593239401,0.9481613100101104,0.8747865328163598,0.9099821113278104,0.9925081188965321
binary,filter_kbest,SVM,0.9537384417043273,0.046261558295672724,0.9282578104432228,0.8330400109839858,0.8779693169194419,0.9816830884872974
binary,wrapper_sfs,SVM,0.9513907970405718,0.048609202959428166,0.9280860495605306,0.8204407664734257,0.8706987307704485,0.9819926805347633
binary,svd,DecisionTree,0.9503475909519791,0.04965240904802093,0.9045574037992491,0.8404332093096089,0.8712825683236693,0.8728172385925436
binary,wrapper_sfs,MLP_ANN,0.9495648461504648,0.050435153849535265,0.9053678640131988,0.83522602841539,0.8685189248949806,0.9795216349502293
binary,pca,DecisionTree,0.9493044982750763,0.050695501724923764,0.8972098709289181,0.84347706695806,0.86937798183627,0.8688662794099725
binary,filter_kbest,MLP_ANN,0.9475643319872272,0.05243566801277274,0.8789897486094603,0.855218471251573,0.8668211645652563,0.9715841870146736
binary,wrapper_sfs,KNN,0.9370431975600337,0.0629568024399663,0.9498382663486992,0.7234849645346614,0.8212544684198398,0.9338765817332915
binary,original,DecisionTree,0.9346081351656852,0.06539186483431485,0.8822418878768628,0.7769501964749121,0.8262077036138576,0.8371442194572111
binary,filter_kbest,KNN,0.933651598290532,0.06634840170946803,0.9641964181070327,0.6939116038775285,0.8068851203461155,0.9319287783191487
binary,wrapper_sfs,DecisionTree,0.9330430311624022,0.06695696883759776,0.8761388919781812,0.7747789302641716,0.8223272663768807,0.8571445269535459
binary,embedded_l1,DecisionTree,0.9328692390887633,0.06713076091123664,0.8837218455483296,0.7652178698556537,0.8201851650626705,0.829323628604515
binary,ga_selection,DecisionTree,0.9326954696974625,0.06730453030253751,0.8751855057562873,0.7743375283535482,0.8214117346379176,0.8344993542053277
binary,filter_kbest,DecisionTree,0.9315648005136007,0.06843519948639931,0.8804705498726721,0.7613076616705418,0.816536129233984,0.8434829075099977
binary,ga_selection,KNN,0.9305212768722763,0.06947872312772385,0.9862346859343968,0.661748269284668,0.7916607827023919,0.9246038769183259
binary,svd,KNN,0.9286083392159977,0.07139166078400232,0.9893569278346188,0.6500085670550776,0.7842474982304046,0.9271345374795366
binary,pca,KNN,0.924782055621357,0.07521794437864297,0.9910140559130847,0.6295713181804256,0.7695742784152987,0.9153353225621236
binary,embedded_l1,KNN,0.9236518174019169,0.07634818259808307,0.9882430041175643,0.6256605426406727,0.7659443228909173,0.9105863288791977
binary,original,KNN,0.92156452061355,0.07843547938645005,0.9914738549181799,0.6130476816187308,0.7571076308819253,0.9100428046888265
binary,lda_reduction,MLP_ANN,0.8544345535841428,0.1455654464158572,0.7579864691748422,0.4034765222976047,0.5253588476060592,0.7968053074785155
binary,lda_reduction,SVM,0.8523477331248737,0.14765226687512642,0.782970374902969,0.363476318049934,0.49584168689642394,0.7219139946085523
binary,lda_reduction,KNN,0.8411302962862254,0.15886970371377465,0.6582426414684479,0.4295578151399721,0.5188840793739751,0.7387333153646068
binary,lda_reduction,DecisionTree,0.8401740089167901,0.15982599108321002,0.6840254000161995,0.3725999480303149,0.48215726988734237,0.6929503109548311
binary,lda_reduction,LDA_Classifier,0.8245217667200473,0.17547823327995274,0.9406955702635037,0.13086715618025083,0.22972382259153493,0.5346073300419381
binary,original,LDA_Classifier,0.8245217667200473,0.17547823327995274,0.9406955702635037,0.13086715618025083,0.22972382259153493,0.5346073300419381
binary,lda_reduction,LogisticRegression,0.8226087383344168,0.17739126166558314,0.9420934255063642,0.12042953285153578,0.21339578553348296,0.5346073300419381
binary,embedded_l1,LDA_Classifier,0.8209563526945688,0.1790436473054312,0.9499292054520332,0.1108622315419678,0.19826360216533626,0.5325154081260891
binary,original,LogisticRegression,0.8194780766810913,0.1805219233189087,0.9741442465580397,0.0999922839768837,0.181134078056866,0.5405785565435434
binary,embedded_l1,LogisticRegression,0.81599980819815,0.18400019180185,0.9810407422347721,0.08173254221402206,0.15064901114851253,0.5357768175284745
binary,pca,LDA_Classifier,0.8095649876882538,0.19043501231174623,0.984650270364556,0.048689240573118964,0.0925321428167728,0.5192689960314399
binary,pca,LogisticRegression,0.8080867797217902,0.19191322027820976,0.991869918699187,0.040863150656486054,0.07826478962617364,0.5198259412842179
binary,svd,LDA_Classifier,0.8073041936966417,0.19269580630335822,0.9794967381174278,0.03738753612630676,0.07191385368390556,0.5229376371354758
binary,svd,LogisticRegression,0.805999913897845,0.19400008610215502,0.9885057471264368,0.03043063351953913,0.0589487484661017,0.5242448701712058
binary,filter_kbest,LDA_Classifier,0.8058257589067983,0.1941742410932016,0.983739837398374,0.02999433780068378,0.0577593745463462,0.516510454243872
binary,ga_selection,LDA_Classifier,0.8054782428065347,0.19452175719346532,0.9861111111111112,0.027824206299225107,0.0541001501978634,0.5141791346971979
binary,filter_kbest,LogisticRegression,0.8046954072756684,0.19530459272433162,0.989247311827957,0.023908324567704132,0.04644144571886647,0.5156457388738347
binary,ga_selection,LogisticRegression,0.8040869081945526,0.1959130918054474,0.9833333333333334,0.020869005756380187,0.04084946318781349,0.5143635362860263
binary,wrapper_sfs,LDA_Classifier,0.8006086850762872,0.19939131492371276,1.0,0.0030438576484511787,0.006066238387028374,0.513406188135791
binary,wrapper_sfs,LogisticRegression,0.8003478155071252,0.19965218449287483,0.6666666666666666,0.0017395093290123603,0.0034699646004912586,0.5136641267296674
multiclass,original,MLP_ANN,0.6746955111607763,0.32530448883922364,0.6768432534127701,0.6746945078936051,0.6754969632652089,
multiclass,svd,MLP_ANN,0.6713050913728499,0.3286949086271501,0.6724674000395595,0.6713041100304897,0.6717827970777209,
multiclass,pca,MLP_ANN,0.6708694997541915,0.32913050024580853,0.6718323446569491,0.6708670200151371,0.6711119388909749,
multiclass,embedded_l1,MLP_ANN,0.6619998436733266,0.3380001563266734,0.6635874738325384,0.6620046001114285,0.6624003677466178,
multiclass,ga_selection,MLP_ANN,0.6317389509681798,0.3682610490318203,0.6363586154737892,0.6317489387631442,0.6331252232566759,
multiclass,filter_kbest,MLP_ANN,0.5726951240186317,0.4273048759813684,0.5742892982523732,0.5726839165171688,0.5728334893343431,
multiclass,pca,SVM,0.5504344960617337,0.4495655039382663,0.596805503563087,0.550433515681115,0.5324471750536477,
multiclass,svd,SVM,0.5483476302377884,0.4516523697622115,0.593987199890272,0.5483465583700128,0.5304090052960386,
multiclass,original,SVM,0.5472173239713344,0.45278267602866556,0.5954858932965107,0.547216047512547,0.5293857441412992,
multiclass,embedded_l1,SVM,0.5435651953677404,0.45643480463225966,0.5926865267854569,0.5435678437006047,0.5252492318602504,
multiclass,ga_selection,SVM,0.5273048170072896,0.4726951829927104,0.5736898551306596,0.5273037151516595,0.506557673807209,
multiclass,wrapper_sfs,MLP_ANN,0.5159121364253715,0.4840878635746286,0.5230283516440247,0.51590953189838,0.518584573864903,
multiclass,pca,DecisionTree,0.5096537164579823,0.49034628354201765,0.5104307950858481,0.509636972459471,0.4886484744197677,
multiclass,svd,KNN,0.49773866163227637,0.5022613383677236,0.5835327751683076,0.49774272282569837,0.5038255397057803,
multiclass,svd,DecisionTree,0.49773861626760035,0.5022613837323996,0.49593191493127203,0.49775168702902467,0.4716428537367363,
multiclass,pca,KNN,0.4813913872350062,0.5186086127649938,0.5770493317508067,0.4813909947201977,0.48180149348849016,
multiclass,ga_selection,KNN,0.4804354854653166,0.5195645145346833,0.5570570475098136,0.48043863321997593,0.4826416163583947,
multiclass,wrapper_sfs,SVM,0.46869733019355336,0.5313026698064466,0.49005673744073786,0.46870233511823106,0.43731421586954666,
multiclass,filter_kbest,SVM,0.46747783697414347,0.5325221630258565,0.49543509457776463,0.4674723102567507,0.43835875697597815,
multiclass,original,KNN,0.4565224491862326,0.5434775508137674,0.5601643031108171,0.4565212309780173,0.4460468423204771,
multiclass,embedded_l1,KNN,0.45634827151284796,0.543651728487152,0.551285677636893,0.45634501062655247,0.44822489241794133,
multiclass,wrapper_sfs,KNN,0.45087105394799015,0.5491289460520098,0.48217384533322116,0.45087435023709754,0.45761767319284047,
multiclass,filter_kbest,KNN,0.4503478631400349,0.5496521368599652,0.5019805355616809,0.4503496606651893,0.4532524109618184,
multiclass,embedded_l1,DecisionTree,0.42182616138220363,0.5781738386177964,0.4529225043892038,0.4218277216285802,0.38894733296173495,
multiclass,ga_selection,DecisionTree,0.40869553738155906,0.5913044626184409,0.4293062264601281,0.4086987948252718,0.3660800368200759,
multiclass,original,DecisionTree,0.4071316355421893,0.5928683644578107,0.44072461240203326,0.4071377752662879,0.3615449007829594,
multiclass,filter_kbest,DecisionTree,0.4032179568992936,0.5967820431007064,0.4298199618549323,0.4032187163487779,0.3688333842469609,
multiclass,wrapper_sfs,DecisionTree,0.40104380943878315,0.5989561905612169,0.40447400779165577,0.4010270253709649,0.3509906956667364,
multiclass,lda_reduction,MLP_ANN,0.34956576705338693,0.6504342329466132,0.34704168315705575,0.3495608107724761,0.3468581442577337,
multiclass,lda_reduction,SVM,0.3463479371751861,0.6536520628248139,0.3458594707833372,0.3463484487956763,0.3394078987638351,
multiclass,lda_reduction,KNN,0.3257395587641084,0.6742604412358917,0.3150778817581444,0.3257388375811175,0.31687678622533605,
multiclass,lda_reduction,DecisionTree,0.31895665509549875,0.6810433449045012,0.3288106117261771,0.3189537299596157,0.32153960731280096,
multiclass,embedded_l1,LDA_Classifier,0.262521705296276,0.737478294703724,0.2689945558424926,0.2625159001138113,0.2600613145472257,
multiclass,pca,LDA_Classifier,0.26130352765246917,0.7386964723475309,0.25862735057729735,0.2613044844845526,0.2501228892039262,
multiclass,lda_reduction,LDA_Classifier,0.25947818918548765,0.7405218108145123,0.2699713006201921,0.2594703404014374,0.2603661658673873,
multiclass,original,LDA_Classifier,0.25947818918548765,0.7405218108145123,0.2699713006201921,0.2594703404014374,0.2603661658673873,
multiclass,pca,LogisticRegression,0.25947732725664424,0.7405226727433557,0.25524638725196475,0.25947828336641016,0.24794480995972853,
multiclass,original,LogisticRegression,0.25730395099562536,0.7426960490043747,0.26140032979321964,0.25729725865584613,0.25569654959547145,
multiclass,embedded_l1,LogisticRegression,0.25669590556126926,0.7433040944387308,0.25933145626443865,0.25669189125400127,0.2524041518902765,
multiclass,svd,LDA_Classifier,0.2555639434841423,0.7444360565158578,0.2512695597557958,0.25556773476851363,0.24285157056467796,
multiclass,filter_kbest,LDA_Classifier,0.2534777354479986,0.7465222645520013,0.24784132991424057,0.2534761251493561,0.24156850308838843,
multiclass,svd,LogisticRegression,0.2533030587631784,0.7466969412368215,0.24896545098956335,0.25330580528615665,0.24085608174219475,
multiclass,lda_reduction,LogisticRegression,0.2523474518638826,0.7476525481361174,0.25586071224643875,0.25233914644898403,0.25169363168644565,
multiclass,filter_kbest,LogisticRegression,0.2508691985327431,0.749130801467257,0.2453789313473748,0.250870265283683,0.23804427820673102,
multiclass,ga_selection,LDA_Classifier,0.24391234401412873,0.7560876559858712,0.23835015350484803,0.24391835539775533,0.22532028020265915,
multiclass,wrapper_sfs,LDA_Classifier,0.2420003816983836,0.7579996183016164,0.23945048390986542,0.24202566031569883,0.22820673293462923,
multiclass,wrapper_sfs,LogisticRegression,0.24139167847622592,0.7586083215237741,0.2387793315124124,0.24141802349529037,0.2274883753745797,
multiclass,ga_selection,LogisticRegression,0.24086903204438226,0.7591309679556177,0.23486774916777162,0.24087472469116053,0.2214020175842193,
